C8,C9,11.770,251.100,-0.400,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C3,C10,4.600,244.600,22.500,0.000,0.000,0.000,0.000,64.700,-22.400,,
C10,C11,4.200,320.100,25.200,0.000,0.000,0.000,0.000,139.800,-24.600,,
C11,C11A,6.090,352.500,19.400,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C9,C12,5.500,311.700,-14.300,0.000,0.000,0.000,0.000,131.100,14.100,,
C12,C13,12.490,257.400,6.700,0.000,0.500,3.000,2.000,77.600,-6.700,,
C12,C14,6.600,279.200,-34.500,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C14,C15,2.980,266.500,-7.600,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C13,C15,7.010,59.400,-49.900,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C13,C16,9.810,291.800,-2.200,0.000,0.000,0.000,0.000,111.700,2.300,,
C16,C17,3.250,204.400,12.200,0.000,0.000,0.000,0.000,24.600,-11.800,,
C18,C17,9.200,104.800,-0.800,0.000,0.000,0.000,0.000,284.800,0.500,,
C18,C18A,6.520,358.900,47.500,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C18,C19,3.290,282.300,-4.000,0.000,0.000,0.000,0.000,102.000,4.100,,
C19,C20,13.130,276.600,42.000,0.000,0.000,0.000,0.000,96.400,-42.000,,
C20,C20A,6.440,322.700,32.500,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C20,C20B,3.050,108.700,22.300,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C20B,C20C,5.950,201.600,68.400,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C9,C21,10.410,99.000,-31.400,0.000,0.000,0.000,0.000,278.800,31.100,,
C21,C22,2.120,66.800,31.900,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C22,C2,9.740,91.500,10.600,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C22,C22A,8.400,262.700,84.000,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C2,C23,12.320,181.900,-24.500,0.000,3.000,2.000,3.000,2.000,24.300,,
C23,C24,12.600,220.600,-23.400,0.000,6.000,3.000,2.000,40.200,23.200,,
C24,C25,8.270,280.000,-2.800,3.000,4.000,4.000,4.000,100.900,2.800,,
C25,C26,8.260,225.800,-7.700,-9.900,5.000,-9.900,-9.900,45.700,7.800,,
C26,C26A,12.250,341.500,32.300,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C26,C27,10.910,101.100,-17.400,2.000,7.000,4.000,2.000,280.900,17.400,,
C27,C27A,9.950,146.700,-88.900,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C28,C27,7.020,303.400,-18.400,3.000,13.000,-9.900,0.000,123.400,18.400,,
C28,C28A,13.500,133.400,-85.700,0.000,0.000,0.000,0.000,-999.000,-999.000,,
A13,C29,7.860,289.600,-6.400,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C29,C30,13.680,263.500,7.000,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C30,C31,11.030,282.600,71.900,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C30,C32,7.790,228.100,5.000,0.000,0.000,0.000,0.000,-999.000,-999.000,,
C32,C33,7.220,309.800,12.700,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D0,A19,17.390,326.500,16.100,0.000,0.000,0.000,0.000,146.100,-16.300,L,
D0,D0A,9.630,89.600,-42.500,0.000,0.000,0.000,0.000,269.800,42.800,L,
D0A,D1,4.450,341.600,-30.400,4.000,21.000,-9.900,4.000,161.700,30.300,,
D1,D2,9.180,325.000,-54.500,0.000,7.000,0.000,4.000,144.800,54.200,,
D2,D2A,11.050,318.300,-26.400,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D2,D3,5.120,190.200,-34.800,2.000,1.000,0.000,0.000,10.100,35.000,,
D4,D3,7.530,277.000,47.600,-9.900,2.000,-9.900,1.000,96.900,-47.600,,
